source_id,title,publisher,author,url,date,accessed,tier,type,docket,media_file,sha256,notes
S001,"Complaint with Jury Demand, UMG Recordings Inc. et al. v. DistroKid LLC et al.",U.S. District Court D. Del. (via CourtListener/RECAP),,https://storage.courtlistener.com/recap/gov.uscourts.ded.94617/gov.uscourts.ded.94617.1.0.pdf,2026-09-15,2026-09-25,1,complaint,1:26-cv-01156 (D. Del.),sources/S001_COMPLAINT_WITH_JURY_DEMAND_UMG_RECORDING.pdf,4019e4c53a5e00af96a9ab9f7a01f36afecc8cc91330f5ad3d905d7bf89b9343,"Filed by Capitol CMG Inc., UMG Recordings Inc., Capitol Records LLC against DK Holdco LLC, DistroKid LLC, Kid Distro Holdings LLC. Jury demand, filing fee $405. Primary case document for this video."
S002,"Summons Returned Executed, UMG Recordings Inc. et al. v. DistroKid LLC et al.",U.S. District Court D. Del. (via CourtListener/RECAP),,https://storage.courtlistener.com/recap/gov.uscourts.ded.94617/gov.uscourts.ded.94617.6.0_2.pdf,2026-09-15,2026-09-25,1,summons,1:26-cv-01156 (D. Del.),sources/S002_SUMMONS_RETURNED_EXECUTED_UMG_RECORDINGS.pdf,7215fd22722a6f4a202d0331e1508d8a5474652335c8549e2381bde16c74845d,"Proof of service on DistroKid LLC, Kid Distro Holdings LLC, UMG Recordings Inc., Capitol Records LLC, Capitol CMG Inc."
S003,"Complaint, UMG Recordings Inc. et al. v. Believe S.A. et al. (TuneCore)",U.S. District Court S.D.N.Y. (docket PDF hosted by Music Business Worldwide),,https://www.musicbusinessworldwide.com/files/2024/11/Dkt.-1-1-24-cv-08406.pdf,2024-11-04,2026-09-25,1,complaint,1:24-cv-08406 (S.D.N.Y.),sources/S003_COMPLAINT_UMG_RECORDINGS_INC_ET_AL_V_BEL.pdf,3f5f682d767fa75e88cbbffd07b3b5d01f2119bdbb719d3e469ffbb0e57cf2ea,"UMG/ABKCO/Concord v. Believe SA and TuneCore, filed 2024-11-04. Seeks no less than $500M; alleges industrial-scale copyright infringement via pitch-shifted/sped-up tracks and misspelled artist names to evade content-ID detection. Earlier distributor suit relevant as precedent/comparison for the DistroKid case. Reported settled via Joint Stipulation of Dismissal With Prejudice filed 2026-04-03 (per Music Business Worldwide 2026-04-07 report); the dismissal filing itself was not locatable as a direct PDF in this search pass."
S004,CVC Capital Partners to make majority investment in DistroKid,CVC Capital Partners (official press release),,https://www.cvc.com/media/news/2026/cvc-capital-partners-to-make-majority-investment-in-distrokid/,2026-07-06,2026-09-25,1,press_release,,sources/S004_CVC_CAPITAL_PARTNERS_TO_MAKE_MAJORITY_IN.html,a81b6ca4eccc686f50a02bcb640847abe4f030d388d52afb3b38100ec14b33e9,Official company statement announcing CVC Capital Partners IX taking a majority stake in DistroKid; existing investor Insight Partners retains a significant minority interest; financial terms not disclosed; deal expected to close Q3 2026; Phil Bauer continues as president. DistroKid is privately held (no SEC filing located/expected for this transaction).
S005,Universal Music Group Sues DistroKid for Deceptive Trade Practices and Building an 'AI-Slop Pipeline',Variety,,https://variety.com/2026/music/news/universal-music-group-sues-distrokid-ai-slop-pipeline-1236863076/,2026-09-16,2026-09-25,2,news,1:26-cv-01156 (D. Del.),sources/S005_UNIVERSAL_MUSIC_GROUP_SUES_DISTROKID_FOR.html,d17ec5a97b1882c65930e4fa162ae5b9059854a26c6ac18d386000ffb6fb7f29,Secondary reporting that quotes DistroKid's official response statement in full ('We strongly disagree with UMG's allegations and are disappointed that it chose litigation... We are confident in our practices and intend to defend DistroKid vigorously.'). No direct primary URL for DistroKid's own press/newsroom page carrying this statement was found in this search pass -- flag as unresolved for 1b/Mode 2.
S006,"Indictment, United States v. Michael Smith (U.S. v. Smith Indictment.pdf)",U.S. Attorney's Office S.D.N.Y. (justice.gov),,https://www.justice.gov/usao-sdny/media/1366241/dl,2024-09-04,2026-09-25,1,indictment,1:24-cr-00504 (S.D.N.Y.),sources/S006_INDICTMENT_UNITED_STATES_V_MICHAEL_SMITH.pdf,9cccb126ca06520e1837e9262ee6fbac943d7f1a7c9311adc48f34a3a2070c86,"DOJ-hosted indictment PDF (landing page https://www.justice.gov/usao-sdny/media/1366241 titled 'U.S. v. Smith Indictment.pdf'); ~1.3MB, appears to be a scanned image PDF (text layer not extractable by fetch tool) -- dispatcher should verify via yt.py pages. Indictment unsealed 2024-09-04 per docket; filed date on docket 2024-08-26. Arraignment 2024-09-18 on Counts 1,2,3. Contents are ALLEGATIONS only."
S007,North Carolina Musician Charged With Music Streaming Fraud Aided By Artificial Intelligence,U.S. Attorney's Office S.D.N.Y. (press release),,https://www.justice.gov/usao-sdny/pr/north-carolina-musician-charged-music-streaming-fraud-aided-artificial-intelligence,2024-09-04,2026-09-25,1,press_release,1:24-cr-00504 (S.D.N.Y.),sources/S007_NORTH_CAROLINA_MUSICIAN_CHARGED_WITH_MUS.html,860be29e6f4716bd044fff6bcfb63cfe529d7ee022dc9b220194e71875c5d7e3,Charging announcement (date = indictment unsealing per docket; verify on page). Fetch tool returned empty body; dispatcher download should capture HTML. Allegation-stage language. | archived via web.archive.org (justice.gov bot wall)
S008,North Carolina Man Pleads Guilty To Music Streaming Fraud Aided By Artificial Intelligence,U.S. Attorney's Office S.D.N.Y. (press release),,https://www.justice.gov/usao-sdny/pr/north-carolina-man-pleads-guilty-music-streaming-fraud-aided-artificial-intelligence-0,2026-03-19,2026-09-25,1,press_release,1:24-cr-00504 (S.D.N.Y.),sources/S008_NORTH_CAROLINA_MAN_PLEADS_GUILTY_TO_MUSI.html,e7d455fdf383d7038b5554dbebae8b07c5030e32b09e0dcb83818ce74e3ce3dc,"Per search snippets: Smith, 54, of Cornelius NC, pled guilty before Judge John G. Koeltl to one count of conspiracy to commit wire fraud (max 5 years); agreed to forfeit $8,091,843.64; sentencing then set for 2026-07-29. Quote attributed to U.S. Attorney Jay Clayton: 'Although the songs and listeners were fake, the millions of dollars Smith stole was real' -- verify verbatim against downloaded page. Materialized cost = plea + forfeiture agreement. | archived via web.archive.org (justice.gov bot wall)"
S009,"Order (bail set), United States v. Smith, Dkt. 13",U.S. District Court S.D.N.Y. (via CourtListener/RECAP),,https://storage.courtlistener.com/recap/gov.uscourts.nysd.627522/gov.uscourts.nysd.627522.13.0.pdf,2024-09-18,2026-09-25,1,order,1:24-cr-00504 (S.D.N.Y.),sources/S009_ORDER_BAIL_SET_UNITED_STATES_V_SMITH_DKT.pdf,e985e2c277070d688b3556274604073232173373589bfe47440d1448e6bd08bd,Judge Koeltl order setting bail for defendant Michael Smith (from court_search.md).
S010,"Appearance Bond, United States v. Smith, Dkt. 19",U.S. District Court S.D.N.Y. (via CourtListener/RECAP),,https://storage.courtlistener.com/recap/gov.uscourts.nysd.627522/gov.uscourts.nysd.627522.19.0.pdf,2024-09-18,2026-09-25,1,bond,1:24-cr-00504 (S.D.N.Y.),sources/S010_APPEARANCE_BOND_UNITED_STATES_V_SMITH_DK.pdf,8f5e8ce379268a40d7ad4f2e107dd82d9a46b1cbe7d9cb0369b0e8377cdbe0fb,"$500,000 personal recognizance bond, to be co-signed by two financially responsible persons (per docket text)."
