asset_id,scene_id,asset_type,provenance_class,source_id,generator_or_origin,version,status,storage_uri,sha256,rights_or_usage_note,notes
GFX_B001,B001,EDITOR_GFX,EDITOR_RECREATION_VERIFIED_FACTS,,Deterministic editor-native graphics,v17,SPEC_LOCKED_NOT_RENDERED,,,Editor-native verified factual graphic.,Exact GFX spec $20B_PROPOSED_VS_$1B_ACTUAL; no generative typography.
G001,B002,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV049,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G002,B003,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV025,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G003,B004,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV052,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G004,B005,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV004;RV015,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G005,B006,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV063,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
UI_B007,B007,AUTHENTIC_PRODUCT_UI,AUTHENTIC_SOURCE,RV027;RV028,Official product/UI source,v17,PREP_SPEC_LOCKED_NOT_RENDERED,,,See 01B_REAL_VISUAL_SOURCE_MANIFEST.csv and Stage12 package.,Exact official UI crop(s); no synthetic UI.
UI_B008,B008,AUTHENTIC_PRODUCT_UI,AUTHENTIC_SOURCE,RV029;RV030,Official product/UI source,v17,PREP_SPEC_LOCKED_NOT_RENDERED,,,See 01B_REAL_VISUAL_SOURCE_MANIFEST.csv and Stage12 package.,Exact official UI crop(s); no synthetic UI.
UI_B009,B009,AUTHENTIC_PRODUCT_UI,AUTHENTIC_SOURCE,RV044;RV045,Official product/UI source,v17,PREP_SPEC_LOCKED_NOT_RENDERED,,,See 01B_REAL_VISUAL_SOURCE_MANIFEST.csv and Stage12 package.,Exact official UI crop(s); no synthetic UI.
UI_B010,B010,AUTHENTIC_PRODUCT_UI,AUTHENTIC_SOURCE,RV034;RV046,Official product/UI source,v17,PREP_SPEC_LOCKED_NOT_RENDERED,,,See 01B_REAL_VISUAL_SOURCE_MANIFEST.csv and Stage12 package.,Exact official UI crop(s); no synthetic UI.
